Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.81,-.39,-.46,-.65,-.34,-.47,-.46,.09,-.48,-.65,-.50,-.52,-.47,***,***,-.48,-.28,-.54
1881,-.78,-.61,-.36,-.25,-.01,-1.10,-.52,-.24,-.32,-.47,-.54,-.13,-.44,-.48,-.64,-.21,-.62,-.44
1882,.12,-.11,-.08,-.58,-.37,-1.02,-.70,-.11,-.07,-.31,-.39,-.67,-.36,-.31,-.04,-.34,-.61,-.26
1883,-.67,-.93,-.45,-.30,-.34,.46,-.01,-.15,-.45,-.56,-.68,-.39,-.37,-.40,-.76,-.37,.10,-.56
1884,-.61,-.34,-.40,-.94,-1.19,-.83,-.85,.15,-.38,-.78,-.83,-1.01,-.67,-.62,-.45,-.84,-.51,-.66
1885,-.94,-.80,-.93,-.88,-.50,-.94,-.64,-.17,-.17,-.04,-.40,-.01,-.54,-.62,-.92,-.77,-.59,-.20
1886,-.78,-.83,-.70,-.64,-.57,-.85,-.41,-.75,-.44,-.87,-.51,-.77,-.68,-.61,-.54,-.63,-.67,-.61
1887,-.88,-1.26,-.60,-.84,-.86,-.67,-.41,-.27,-.62,-.52,-.92,-.66,-.71,-.72,-.97,-.76,-.45,-.69
1888,-.75,-.81,-.92,-.31,-.76,-.55,-.35,-.35,-.42,-.25,-.06,-.18,-.48,-.52,-.74,-.66,-.41,-.25
1889,-.31,.15,.04,.11,.08,-.32,-.42,-.60,-.38,-.21,-.46,-.42,-.23,-.21,-.11,.08,-.45,-.35
1890,-.64,-.65,-.63,-.51,-.91,-.58,-.59,-.61,-.35,-.29,-.80,-.56,-.59,-.58,-.57,-.69,-.59,-.48
1891,-.98,-1.07,-.54,-.64,-.46,-.53,-.70,-.57,-.48,-.54,-.50,.05,-.58,-.63,-.87,-.54,-.60,-.51
1892,-.63,-.30,-.59,-.70,-.65,-.56,-.40,-.28,-.49,-.35,-.65,-.62,-.52,-.46,-.29,-.65,-.41,-.50
1893,-1.45,-1.02,-.61,-.68,-.76,-.70,-.15,-.34,-.26,-.09,-.14,-.39,-.55,-.57,-1.03,-.69,-.40,-.17
1894,-.78,-.62,-.41,-.65,-.66,-.49,-.39,-.32,-.43,-.09,-.16,-.18,-.43,-.45,-.60,-.57,-.40,-.23
1895,-.70,-.79,-.52,-.47,-.32,-.30,-.54,-.20,-.15,-.10,-.17,-.10,-.36,-.37,-.55,-.44,-.35,-.14
1896,-.25,-.30,-.55,-.47,-.45,-.46,-.21,-.37,-.11,-.03,-.45,-.21,-.32,-.31,-.22,-.49,-.35,-.20
1897,-.27,-.49,-.31,-.11,-.25,-.17,-.12,-.32,-.15,-.21,.00,-.23,-.22,-.22,-.33,-.22,-.20,-.12
1898,-.13,-.46,-.82,-.59,-.66,-.32,-.37,-.24,-.03,-.42,-.50,-.23,-.40,-.40,-.27,-.69,-.31,-.32
1899,-.44,-.61,-.39,-.26,-.41,-.56,-.32,-.30,-.04,-.29,-.03,-.23,-.32,-.32,-.43,-.35,-.39,-.12
1900,-.54,-.06,-.20,-.18,-.19,-.12,-.36,-.18,-.09,.15,-.15,-.10,-.17,-.18,-.27,-.19,-.22,-.03
1901,-.28,-.16,-.18,-.12,-.24,-.01,-.29,-.23,.00,-.20,-.18,-.26,-.18,-.17,-.18,-.18,-.18,-.13
1902,-.34,-.07,-.22,-.23,-.35,-.37,-.48,-.53,-.44,-.45,-.52,-.59,-.38,-.35,-.22,-.27,-.46,-.47
1903,-.38,-.17,-.22,-.60,-.49,-.67,-.33,-.45,-.43,-.50,-.49,-.63,-.45,-.44,-.38,-.43,-.49,-.47
1904,-.82,-.78,-.59,-.48,-.67,-.52,-.63,-.51,-.47,-.54,-.29,-.43,-.56,-.58,-.74,-.58,-.55,-.43
